ID,primaryie_text,secondaryies_text,tertiaryies_text,merged_text,page_nums
1,Abortion,Malaysia,,{Abortion::Malaysia:},['[1.045]']
2,Abortion,United States,,{Abortion::United States:},['[1.041]']
3,Acceptance,absolute and unqualified,case example,{Acceptance::absolute and unqualified::case example:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.054]', '[4.055]']"
4,Acceptance,acceptor’s advantages,,{Acceptance::acceptor’s advantages:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.119]']"
5,Acceptance,characteristics,,{Acceptance::characteristics:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.053]']"
6,Acceptance,communication of,completion,{Acceptance::communication of::completion:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.077]']"
7,Acceptance,communication of,conditions unfulfilled despite,{Acceptance::communication of::conditions unfulfilled despite:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.075]']"
8,Acceptance,communication of,deeming,{Acceptance::communication of::deeming:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.071]']"
9,Acceptance,communication of,effective,{Acceptance::communication of::effective:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.077]']"
10,Acceptance,communication of,English law,{Acceptance::communication of::English law:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.069]', '[4.070]', '[4.073]']"
11,Acceptance,communication of,general rule,{Acceptance::communication of::general rule:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.069]']"
12,Acceptance,communication of,Malaysia,{Acceptance::communication of::Malaysia:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.070]']"
13,Acceptance,communication of,means,{Acceptance::communication of::means:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.072]']"
14,Acceptance,communication of,omission,{Acceptance::communication of::omission:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.072]', '[4.074]']"
15,Acceptance,communication of,silence,{Acceptance::communication of::silence:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.073]', '[4.076]']"
16,Acceptance,communication of,timing,{Acceptance::communication of::timing:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.078]']"
17,Acceptance,communication of,unilateral proposals,{Acceptance::communication of::unilateral proposals:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.075]']"
18,Acceptance,communication of,case,{Acceptance::communication of::case:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.079]']"
19,Acceptance,communication of,case analysis,{Acceptance::communication of::case analysis:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.080]', '[4.081]']"
20,Acceptance,Contracts Act 1950 s 2(b),,{Acceptance::Contracts Act 1950 s 2(b):},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.052]']"
21,Acceptance,examples of analysis of existence,,{Acceptance::examples of analysis of existence:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.006]', '[4.007]']"
22,Acceptance,mala fide,,{Acceptance::mala fide:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.098]']"
23,Acceptance,motive,,{Acceptance::motive:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.051]']"
24,Acceptance,necessity,,{Acceptance::necessity:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.052]']"
25,Acceptance,omission,,{Acceptance::omission:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.072]', '[4.074]']"
26,Acceptance,oral contract case example,evidence,{Acceptance::oral contract case example::evidence:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.057]', '[4.058]']"
27,Acceptance,postal acceptance,case example,{Acceptance::postal acceptance::case example:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.062]', '[4.063]', '[4.078]', '[4.082]']"
28,Acceptance,postal acceptance,Contracts Act 1950 s 4(2),{Acceptance::postal acceptance::Contracts Act 1950 s 4(2):},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.080', '4.082', '[4.062]', '[4.063]', '[4.082]']"
29,Acceptance,postal acceptance,facts and evidence,{Acceptance::postal acceptance::facts and evidence:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.062]', '[4.063]', '[4.082]', '[4.083]']"
