ID,primaryie_text,secondaryies_text,tertiaryies_text,merged_text,page_nums,page_nums_converted
3,Acceptance,absolute and unqualified,case example,{Acceptance::absolute and unqualified::case example:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.054]', '[4.055]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.054, 4.055]"
4,Acceptance,acceptor’s advantages,,{Acceptance::acceptor’s advantages:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.119]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.119]"
5,Acceptance,characteristics,,{Acceptance::characteristics:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.053]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.053]"
6,Acceptance,communication of,completion,{Acceptance::communication of::completion:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.077]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.077]"
7,Acceptance,communication of,conditions unfulfilled despite,{Acceptance::communication of::conditions unfulfilled despite:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.075]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.075]"
8,Acceptance,communication of,deeming,{Acceptance::communication of::deeming:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.071]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.071]"
9,Acceptance,communication of,effective,{Acceptance::communication of::effective:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.077]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.077]"
10,Acceptance,communication of,English law,{Acceptance::communication of::English law:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.069]', '[4.070]', '[4.073]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.069, 4.07, 4.073]"
11,Acceptance,communication of,general rule,{Acceptance::communication of::general rule:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.069]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.069]"
12,Acceptance,communication of,Malaysia,{Acceptance::communication of::Malaysia:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.070]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.07]"
